location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,living_meters,kitchen_meters,ceiling_height,street,house_number,residential_complex
Пересвет,2,4,1,37.0,12600000,1896,Вторичка,-1,Наземная,-1,23 м²,7 м²,"3,2 м",Дегтярный переулок,22Г,0
Пересвет,4,5,1,30.3,3899000,1962,Вторичка,-1,Наземная,-1,"19,3 м²",6 м²,"2,6 м",шоссе Энтузиастов,57,0
Пересвет,9,12,1,34.93,11300000,2024,Новостройка,1 лоджия,-1,"Монолитно-кирпичный, монолитный, кирпичный","15,2 м²","8,8 м²","2,74 м",Большой Сампсониевский проспект,70к5,Новый Лесснер
Пересвет,15,15,1,40.6,11890000,2018,Вторичка,-1,-1,-1,20 м²,10 м²,"2,7 м",бульвар Веласкеса,3к3,0
Пересвет,12,19,1,36.78,5300000,2024,Новостройка,1 лоджия,-1,Монолитно-кирпичный,"16,9 м²","14,9 м²","2,87 м", Шувалова,34,Мурино Клаб
Пересвет,3,9,1,26.91,11491915,2025,Новостройка,-1,-1,Монолитный,"17,6 м²",-1,"2,74 м",7-я Васильевского острова линия,84,Регенбоген
Пересвет,5,6,1,43.0,26900000,-1,Вторичка / Апартаменты,-1,Наземная,-1,-1,-1,-1, 3-я Ямского Поля,9,Art Residence
Пересвет,4,6,1,30.0,7490000,2021,Вторичка,1 лоджия,-1,-1,-1,11 м²,3 м, Жемчужная,1к14,0
Пересвет,4,12,1,47.7,18216375,2024,Новостройка / Апартаменты,1 балкон,-1,Монолитно-кирпичный,"28,9 м²","13,8 м²",3 м,Приморское шоссе,570Л,МФК Морская ривьера
Пересвет,30,79,1,78.0,92880000,2019,Вторичка / Апартаменты,-1,Подземная,-1,50 м²,15 м²,-1,1-й Красногвардейский проезд,22с1,NEVA TOWERS
Пересвет,1,5,1,29.8,3750000,1969,Вторичка,-1,-1,-1,17 м²,6 м²,"2,6 м", 50 лет ВЛКСМ,5А,0
Пересвет,2,10,1,37.6,8696363,2023,Новостройка,-1,-1,-1,"12,6 м²","13,5 м²","2,8 м",Парашютная ,79к1,Veren Next Шуваловский
Пересвет,10,18,1,30.6,6400000,2023,Вторичка,-1,Наземная,-1,"10,6 м²",11 м²,"2,8 м", Стрельбище Динамо,10,Мытищи Парк
Пересвет,3,9,1,29.4,6100000,1970,Вторичка,-1,Наземная,-1,"15,2 м²","6,7 м²","2,6 м", Дыбенко,24К1,0
Пересвет,2,3,1,49.9,11097826,2022,Новостройка,-1,-1,Монолитный,"13,1 м²","24,3 м²","2,8 м",Красносельское шоссе,22,Veren Village Стрельна
Пересвет,13,24,1,34.1,7450000,2018,Вторичка,-1,Подземная,-1,16 м²,8 м²,"2,9 м",Юбилейная ,6,Ярославский
Пересвет,7,9,1,30.2,5150000,1969,Вторичка,-1,-1,-1,"17,8 м²","6,3 м²","2,5 м", Стойкости,7,0
Пересвет,7,20,1,24.84,8609974,2026,Новостройка,-1,-1,"Монолитно-кирпичный, кирпичный",-1,-1,"2,7 м",0,0,Крымская Резиденция
Пересвет,24,49,1,43.9,27800000,2021,Новостройка,-1,Подземная,-1,"17,2 м²",18 м²,-1, Лобачевского,114с1,Событие
Пересвет,79,97,1,73.0,72900000,-1,Вторичка / Апартаменты,-1,-1,-1,50 м²,18 м²,-1,набережная Пресненская,12,Башня Федерация
Пересвет,14,18,1,32.77,9339450,2027,Новостройка,-1,-1,Монолитный,"11,7 м²","13,5 м²","2,82 м",0,0,Цивилизация на Неве
Пересвет,2,17,1,34.0,6700000,2017,Вторичка,1 лоджия,Наземная,-1,13 м²,11 м²,"2,9 м", Камова,10к1,0
Пересвет,5,5,1,54.7,22000000,1777,Вторичка,-1,-1,-1,"20,2 м²","21,2 м²","2,65 м",Караванная ,3/35,0
Пересвет,2,5,1,43.5,10875000,2024,Новостройка,1 балкон,-1,Монолитно-кирпичный,-1,-1,"2,85 м", Береговая,6,Loft у Озера
Пересвет,10,12,1,32.69,10250161,2026,Новостройка,1 лоджия,-1,Монолитно-кирпичный,"10,6 м²","15,2 м²","2,77 м",м. Ленинский проспект,0,Титул в Московском
Пересвет,22,22,1,19.4,8880000,1980,Вторичка / Апартаменты,-1,Наземная,-1,15 м²,4 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,22,22,1,16.0,8880000,1980,Вторичка / Апартаменты,-1,Наземная,-1,8 м²,3 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,24,25,1,33.37,4110000,2026,Новостройка,-1,-1,-1,-1,-1,"2,72 м",0,0,Малина парк
Пересвет,22,22,1,20.0,9770000,1980,Вторичка / Апартаменты,-1,Наземная,-1,16 м²,3 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,22,22,1,17.2,9110000,1980,Вторичка / Апартаменты,-1,Наземная,-1,"9,2 м²",3 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,2,16,1,32.7,3969780,2024,Новостройка,-1,-1,Панельный,10 м²,"16,6 м²","2,56 м",0,0,ЛСР. Ржевский парк
Пересвет,4,5,1,38.9,3990000,2023,Новостройка,1 балкон,-1,Монолитный,"18,7 м²","11,2 м²",3 м, Томилина,11,Невская История
Пересвет,8,9,1,32.3,12860000,1963,Вторичка,1 балкон,Наземная,-1,"21,8 м²","5,3 м²","2,64 м",Черноморский бульвар,19К1,0
Пересвет,6,17,1,38.0,9350000,2012,Вторичка,1 лоджия,Наземная,-1,19 м²,8 м²,"2,74 м", Авиаконструктора Петлякова,7,Солнцево парк
Пересвет,24,25,1,30.41,4390000,2025,Новостройка,-1,-1,-1,"12,4 м²","7,3 м²","2,72 м",0,0,Гринсайд ЖК
Пересвет,2,6,1,29.0,5500000,-1,Вторичка,1 балкон,Наземная,-1,-1,7 м²,-1, Ленина,276,0
Пересвет,1,5,1,40.9,9100000,2022,Вторичка,1 лоджия,Наземная,-1,"26,9 м²","11,4 м²","2,87 м", Кокколевская,14к2,Образцовый квартал 9
Пересвет,2,7,1,39.4,6304000,2025,Новостройка,1 лоджия,-1,-1,16 м²,"12,5 м²","2,7 м", Екатерининская,5к2,История 2
Пересвет,2,3,1,26.0,3800000,2022,Вторичка,1 лоджия,-1,-1,"18,3 м²",-1,"2,75 м", Славянская,8к2,Ново-Антропшино
Пересвет,4,4,1,42.1,19000000,2022,Вторичка / Апартаменты,-1,Подземная,-1,"15,2 м²",10 м²,-1, Казакова,7,KAZAKOV Grand Loft
Пересвет,2,17,1,35.6,8116800,2025,Новостройка,-1,-1,Монолитно-кирпичный,16 м²,-1,"2,85 м",0,0,Екатерининский парк
Пересвет,3,24,1,46.8,7773000,2022,Вторичка,1 балкон,Наземная,-1,-1,"12,2 м²",-1, Разина,1А,28 микрорайон
Пересвет,8,10,1,40.0,4250000,2023,Вторичка,1 лоджия,Наземная,-1,20 м²,10 м²,"2,7 м", Имени Николая Сдобнова,5,Апельсин
Пересвет,3,15,1,40.7,5700000,2013,Вторичка,1 балкон,Наземная,-1,18 м²,12 м²,-1,0,0,Супонево
Пересвет,4,25,1,32.9,6737920,2026,Новостройка,-1,-1,Панельный,"10,4 м²","16,5 м²","2,55 м",Октябрьская набережная ЖК,0,Октябрьская набережная ЖК
Пересвет,11,20,1,44.0,22490000,2022,Вторичка,-1,Подземная,-1,32 м²,7 м²,3 м,0,В3,Акватория ЖК
Пересвет,2,3,1,36.0,5800000,1979,Вторичка,1 балкон,-1,-1,30 м²,4 м²,"2,6 м",шоссе Фрунзенское,4,0
Пересвет,3,4,1,31.21,7950060,2026,Новостройка,1 лоджия,-1,Монолитно-кирпичный,"10,4 м²","13,5 м²",-1,0,0,Дворцовый фасад ЖК
Пересвет,13,25,1,38.8,14800000,2022,Вторичка,-1,-1,-1,10 м²,"17,8 м²","2,9 м", Берзарина,30Б,Октябрьское поле
Пересвет,1,4,1,37.7,14100000,2021,Вторичка,1 балкон,Наземная,-1,"11,5 м²","18,6 м²",3 м,шоссе Липкинское,14,Barton
Пересвет,2,25,1,30.4,6288000,2025,Новостройка,-1,-1,-1,"10,6 м²","8,6 м²","2,7 м",0,0,Основинские кварталы ЖК
Пересвет,15,18,1,38.5,16500000,2023,Вторичка / Апартаменты,-1,Подземная,-1,-1,18 м²,3 м,Большой Волоколамский проезд,23,Комплекс апартаментов B’aires
Пересвет,25,25,1,37.2,8027100,2023,Новостройка,-1,-1,Монолитно-кирпичный,"13,1 м²","14,3 м²","2,7 м", 8 Марта,204Д,Ботаника LIFE
Пересвет,14,48,1,42.0,24500000,-1,Вторичка,1 балкон,-1,-1,22 м²,14 м²,-1, Народного Ополчения,15К1,Wellton Towers
Пересвет,3,4,1,38.2,5539000,2025,Новостройка,1 балкон,-1,"Монолитно-кирпичный, кирпичный","10,5 м²","16,9 м²","2,7 м",Ключевая ,0,Сиреневый бульвар
Пересвет,16,23,1,35.2,5026000,2027,Новостройка,-1,-1,-1,11 м²,"15,1 м²","2,7 м",0,0,Основинские кварталы ЖК
Пересвет,22,22,1,19.4,8380000,1980,Вторичка / Апартаменты,-1,Наземная,-1,"11,4 м²",3 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,4,33,1,42.9,23600000,-1,Вторичка,"1 лоджия, 1 балкон",-1,-1,"22,9 м²",15 м²,"2,9 м", Годовикова,11к2,iLove
Пересвет,4,23,1,34.03,8459858,2025,Новостройка,-1,-1,Монолитно-кирпичный,"11,8 м²","16,5 м²","2,55 м",Юго-Запад,0,Морская миля ЖК
Пересвет,11,34,1,46.4,19990000,-1,Вторичка,-1,Подземная,-1,"17,7 м²","16,7 м²",3 м, Архитектора Власова,71к2,Ever
Пересвет,3,10,1,42.2,3750000,-1,Вторичка,1 лоджия,-1,-1,"19,1 м²","11,5 м²",-1, Имени К.П. Панченко,8,10-й Микрорайон
Пересвет,2,18,1,38.3,5162840,2025,Новостройка,-1,-1,Монолитно-кирпичный,"12,3 м²","12,6 м²","2,72 м",0,0,Парк Победы - 2
Пересвет,22,22,1,19.4,8880000,1980,Вторичка / Апартаменты,-1,Наземная,-1,14 м²,4 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,18,22,1,42.0,7800000,2014,Вторичка,1 лоджия,-1,-1,"17,8 м²",10 м²,-1, Сходненская,33,Путилково
Пересвет,22,22,1,17.2,8780000,1980,Вторичка / Апартаменты,-1,Наземная,-1,"9,2 м²",3 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,5,23,1,48.0,5750000,2021,Вторичка,1 лоджия,Наземная,-1,11 м²,25 м²,"2,8 м", Фабричная,4,КарандашЪ
Пересвет,6,9,1,40.6,5310000,2026,Новостройка,-1,-1,-1,15 м²,"12,1 м²","2,75 м",0,0,Сезоны ЖК
Пересвет,22,22,1,14.3,8280000,1980,Вторичка / Апартаменты,-1,Наземная,-1,"6,3 м²",3 м²,"2,65 м",Ленинский проспект,158,0
Пересвет,1,15,1,36.0,7390000,2021,Вторичка,-1,Наземная,-1,17 м²,10 м²,"2,75 м", Успенского,31Б,0
Пересвет,6,23,1,38.2,5682600,2025,Новостройка,-1,-1,Монолитно-кирпичный,"16,2 м²",11 м²,"2,7 м",0,0,Отражение
Пересвет,2,16,1,38.0,4000000,2015,Вторичка,1 балкон,-1,-1,"18,4 м²","9,6 м²",-1, Вавилова,18/2,0
Пересвет,7,8,1,28.01,8543050,2026,Новостройка,-1,-1,-1,-1,-1,"2,76 м", Седова,89К3,Belevsky Club
Пересвет,12,12,1,42.06,20600000,2024,Вторичка,1 лоджия,-1,-1,"17,3 м²",15 м²,-1,Летная ,95Бк2,ÁLIA
Пересвет,4,6,1,36.6,3600000,2012,Вторичка,1 балкон,-1,-1,20 м²,10 м²,"2,7 м", Имени С.С. Прокофьева,15,0
Пересвет,4,4,1,29.0,7605000,-1,Вторичка / Апартаменты,-1,Наземная,-1,19 м²,10 м²,"4,5 м",Серебристый бульвар,18К1,0
Пересвет,5,7,1,26.4,3982757,2026,Новостройка,-1,-1,Кирпичный,-1,-1,"2,7 м",0,0,ФоРест
Пересвет,4,10,1,24.0,12000000,2021,Вторичка / Апартаменты,-1,Наземная,-1,16 м²,4 м²,3 м, Ленинградская,7А,Cosmos Stay Le Rond Sochi
Пересвет,2,2,1,42.3,3150000,-1,Вторичка,-1,-1,-1,"19,8 м²","12,7 м²",-1, Маршала Василевского,18,0
Пересвет,2,8,1,42.78,4962480,2025,Новостройка,-1,-1,Монолитно-кирпичный,"11,7 м²",20 м²,"2,7 м", Луначарского,52,Простор
